עמוד,ערך N,שם זיהוי
עמוד ראשי,00010000000000000000,MAIN
,,
"עמוד ""סטוס מערכות- אזור בנים""",00500000000000000000,STATUS_BOYS
"עמוד ""סטוס מערכות- אזור בנות""",00510000000000000000,STATUS_GIRLS
"עמוד ""סטוס מערכות- אזור ציבורי""",00520000000000000000,STATUS_PUBLIC
,,
"עמוד ""בקרת אזורים""",00020000000000000000,CONTROL_MAIN
,,
"עמוד ""בקרת אזורים-אזור בנים-חלוקה למבנים""",00030000000000000000,CONTROL_BOYS_SPLIT
"עמוד ""בקרת אזורים-אזור בנים-הפעלה כללית של מערכות""",00040000000000000000,CONTROL_BOYS_GENERAL
"עמוד ""בקרת אזורים-אזור בנים-שעוני שבת-מזגנים1"" (ברירת המחדל)",00050000000000000000,CONTROL_BOYS_SHABAT_AC1
"עמוד ""בקרת אזורים-אזור בנים-שעוני שבת-מזגנים2""",00060000000000000000,CONTROL_BOYS_SHABAT_AC2
"עמוד ""בקרת אזורים-אזור בנים-שעוני שבת-תאורת חדרים""",00070000000000000000,CONTROL_BOYS_SHABAT_ROOMS
"עמוד ""בקרת אזורים-אזור בנים-שעוני שבת-תאורת שירותים""",00080000000000000000,CONTROL_BOYS_SHABAT_WC
"עמוד ""בקרת אזורים-אזור בנים-שעוני שבת-מחמם מים""",00090000000000000000,CONTROL_BOYS_SHABAT_HEATER
,,
"עמוד ""בקרת אזורים-אזור בנות-חלוקה למבנים1 (ברירת מחדל)""",00100000000000000000,CONTROL_GIRLS_SPLIT1
"עמוד ""בקרת אזורים-אזור בנות-חלוקה למבנים2""",00110000000000000000,CONTROL_GIRLS_SPLIT2
"עמוד ""בקרת אזורים-אזור בנות-הפעלה כללית של מערכות",00120000000000000000,CONTROL_GIRLS_GENERAL
"עמוד ""בקרת אזורים-אזור בנות-שעוני שבת-מזגנים1"" (ברירת המחדל)",00130000000000000000,CONTROL_GIRLS_SHABAT_AC1
"עמוד ""בקרת אזורים-אזור בנות-שעוני שבת-מזגנים2""",00140000000000000000,CONTROL_GIRLS_SHABAT_AC2
"עמוד ""בקרת אזורים-אזור בנות-שעוני שבת-תאורת חדרים""",00150000000000000000,CONTROL_GIRLS_SHABAT_ROOMS
"עמוד ""בקרת אזורים-אזור בנות-שעוני שבת-תאורת שירותים""",00160000000000000000,CONTROL_GIRLS_SHABAT_WC
